時	天
気	気
温	オ
ム
ニ
バ
ス	リ
バ
｜
鉄
道	カ
リ
ブ
の
海
賊	ジ
ャ
ン
グ
ル	ツ
リ
｜
ハ
ウ
ス	チ
キ
ル
｜
ム	ビ
ッ
グ
サ
ン
ダ
｜	Ｓ
ギ
ャ
ラ
リ
｜	ベ
ア
・
シ
ア
タ
｜	い
か
だ	蒸
気
船	ス
プ
ラ
ッ
シ
ュ	カ
ヌ
｜
探
検	ハ
ニ
｜
ハ
ン
ト	ホ
｜
ン
テ
ッ
ド	ア
リ
ス	ス
モ
｜
ル
ワ
｜
ル
ド	カ
ル
｜
セ
ル	シ
ン
デ
レ
ラ	ピ
ノ
キ
オ	ピ
｜
タ
｜
パ
ン	フ
ィ
ル
ハ
｜	白
雪
姫	空
飛
ぶ
ダ
ン
ボ	ゴ
｜
コ
｜
ス
タ
｜	グ
｜
フ
ィ
｜	Ｃ
Ｄ
ツ
リ
｜
ハ
ウ
ス	ド
ナ
ル
ド
の
ボ
｜
ト	ミ
ニ
｜
の
家	カ
｜
ト
ゥ
｜
ン	ス
タ
｜
・
ツ
ア
｜
ズ	ス
ペ
｜
ス	バ
ズ
ラ
イ
ト
イ
ヤ
｜	モ
ン
イ
ン	美
女
と
野
獣	ス
タ
｜
ジ
ェ
ッ
ト	ス
テ
ィ
ッ
チ
Ｅ
Ｎ
Ｃ	エ
ン
ト
グ
リ
西	エ
ン
ト
グ
リ
東	デ
イ
ジ
｜
グ
リ	ド
ナ
ル
ド
グ
リ	ミ
｜
ト
・
ミ
ッ
キ
｜	平
均
待
ち
時
間
03/31 15:30	晴	23.1	10	25	25	35	-	5	-	20	5	5	10	135	50	25	-	80	15	25	15	20	-	15	25	45	50	15	5	10	10	40	45	130	100	95	130	95	20	-	40	40	50	45	43
04/01 15:30	曇	17.1	5	20	25	25	-	5	-	15	5	5	10	160	40	25	-	90	20	20	20	20	45	10	30	45	60	20	5	5	10	40	45	140	75	110	135	95	15	-	35	25	35	30	42
04/02 15:30	晴	17.3	5	20	25	25	-	5	-	10	5	5	10	185	50	20	-	60	25	25	20	30	45	10	35	45	60	20	5	5	5	45	35	140	60	90	115	100	15	-	20	15	30	30	40
04/03 15:30	小雨	15.0	5	5	10	10	-	5	-	5	5	5	10	60	5	20	-	50	10	10	15	15	35	10	30	15	25	10	5	5	10	35	25	85	45	75	95	50	15	-	25	15	30	20	25
04/04 15:30	曇	18.8	15	20	25	30	-	5	-	15	5	5	10	170	30	25	-	80	20	15	20	30	50	15	35	50	65	20	5	5	15	45	65	140	75	90	155	70	15	-	40	15	35	40	43
04/05 15:30	曇	12.2	5	15	15	25	-	5	-	10	5	5	10	95	25	20	-	60	15	15	25	20	45	10	35	35	40	15	5	5	25	35	50	90	45	75	110	75	15	-	20	35	35	35	33
04/06 15:30	曇	13.5	5	20	20	25	-	5	-	5	5	5	10	70	35	15	-	40	15	15	15	10	35	5	20	40	30	10	5	5	5	30	25	90	45	55	-	75	15	-	25	20	30	30	25
04/07 15:30	晴	21.8	5	10	10	15	-	5	-	5	5	5	5	50	20	10	-	20	5	10	5	10	20	5	15	20	15	5	5	5	5	20	15	60	25	60	45	40	15	-	30	25	30	30	18
04/08 15:30	曇	21.1	5	20	15	20	-	5	-	5	5	5	10	70	30	10	-	40	10	15	15	10	35	10	20	30	25	5	5	5	10	30	15	75	45	60	75	45	15	-	170	70	55	55	32
04/09 15:30	小雨	14.2	5	10	5	5	-	5	-	5	5	5	10	25	5	5	-	5	5	5	10	5	20	5	10	20	5	5	5	5	5	25	5	70	20	45	60	40	15	-	100	50	40	45	20
04/10 15:30	晴	15.6	10	25	15	20	-	5	-	5	5	5	10	85	15	-	-	50	15	20	10	20	45	15	25	40	30	5	5	5	5	35	30	90	45	70	110	75	15	-	90	50	50	60	35
04/11 15:30	曇	17.2	5	20	15	20	-	5	-	5	5	5	10	90	5	10	-	50	10	15	20	5	40	5	25	40	20	10	5	5	5	30	35	100	45	65	-	65	15	-	120	40	50	45	30
04/12 15:30	曇	16.4	5	20	20	20	-	5	-	5	5	5	10	75	20	25	-	-	5	20	20	10	45	10	25	50	30	20	5	5	15	40	25	110	55	75	120	85	20	-	145	50	55	65	38
04/13 15:30	晴	20.4	10	25	20	35	-	5	-	20	5	5	10	120	40	20	-	70	10	15	15	5	45	10	25	40	25	15	5	5	5	30	35	120	55	80	120	95	15	-	140	55	60	55	41
04/14 15:30	晴	24.3	5	20	15	30	-	5	-	10	5	5	10	85	40	15	-	80	10	15	15	10	35	10	20	-	20	5	5	5	5	35	15	90	50	60	110	85	15	-	85	40	50	50	33
04/15 15:30	晴	23.9	5	15	15	20	-	5	-	5	5	5	10	75	20	10	-	45	10	10	20	20	30	5	20	35	20	15	5	5	5	30	10	85	40	70	100	60	15	-	90	35	55	50	30
04/16 15:30	晴	21.6	5	20	15	20	-	5	-	5	5	5	10	55	5	15	-	50	10	15	15	15	35	10	25	40	20	10	5	5	5	30	10	80	40	60	90	65	15	-	120	55	50	55	30
04/17 15:30	晴	25.2	5	15	10	15	-	5	-	5	5	5	10	70	5	10	-	40	5	5	15	5	30	5	15	25	15	5	5	5	5	30	5	70	35	50	100	50	15	-	75	25	50	40	24
04/18 15:30	曇	19.4	5	20	15	20	-	5	-	5	5	5	10	70	5	15	-	50	10	10	15	15	40	5	20	35	10	15	5	5	10	35	25	80	45	65	85	70	15	-	90	55	45	50	30
04/19 15:30	晴	22.6	5	30	-	35	-	5	-	5	5	5	10	85	5	20	-	65	15	25	30	20	45	15	25	45	25	15	5	5	25	40	30	110	55	65	-	80	15	-	105	45	55	80	36
04/20 15:30	晴	24.9	5	20	20	25	-	5	-	5	5	5	5	95	35	20	-	50	10	15	15	10	35	10	20	45	20	10	5	5	5	35	20	110	60	70	115	85	15	-	80	45	55	60	35
04/21 15:30	曇	22.3	5	20	15	20	-	5	-	5	5	5	10	65	5	15	-	50	10	10	15	10	35	10	20	25	20	10	5	5	5	30	30	95	40	55	90	65	15	-	90	45	45	45	29
04/22 15:30	曇	18.2	5	15	15	20	-	5	-	5	5	5	10	55	10	15	-	40	5	10	15	10	30	5	20	30	20	10	5	5	5	25	5	70	40	50	100	55	15	-	70	45	40	40	25
04/23 15:30	曇	18.3	5	15	15	20	-	5	-	5	5	5	10	70	10	5	-	60	5	15	15	5	20	5	25	35	20	10	5	5	5	35	15	80	50	-	100	60	15	-	75	35	45	55	27
04/24 15:30	曇	15.2	-	5	5	5	-	5	-	5	5	5	10	30	5	10	-	13	5	5	10	5	25	5	15	15	5	5	5	5	5	20	5	70	20	35	40	35	15	-	-	-	-	-	14
04/25 15:30	晴	25.2	5	15	5	20	-	5	-	5	5	5	10	70	10	10	-	45	10	10	15	10	40	5	15	35	15	5	5	5	5	25	5	80	45	45	85	55	15	-	75	40	40	45	26
04/26 15:30	曇	23.7	5	15	10	25	-	5	-	10	5	5	10	90	10	10	-	50	10	15	10	10	35	5	15	30	15	15	5	5	5	30	20	100	45	50	-	60	15	-	65	30	45	50	26
04/27 15:30	曇	21.2	-	5	-	15	-	-	-	10	5	5	10	35	20	5	-	20	5	5	5	5	25	5	15	25	15	10	5	5	5	25	10	50	30	45	80	55	15	-	50	20	35	30	21
04/28 15:30	晴	28.4	-	25	20	35	-	5	-	20	5	5	10	115	25	15	-	50	15	20	15	15	45	15	20	40	35	15	5	5	5	30	25	130	80	15	110	80	15	-	55	30	35	40	35
04/29 15:30	曇	23.4	-	10	10	15	-	5	-	5	5	5	10	45	30	5	-	-	5	10	10	5	30	5	15	30	15	10	5	5	5	25	15	55	40	40	50	35	15	-	45	25	30	30	20
04/30 15:30	晴	23.7	5	5	5	10	-	5	-	5	5	5	10	40	5	10	-	13	5	5	10	10	25	5	20	25	5	5	5	5	5	25	5	55	40	50	-	45	15	-	45	25	35	40	18
05/01 15:30	雨	14.5	-	10	5	5	-	5	-	5	5	5	10	5	5	5	-	5	5	5	5	5	25	5	15	5	5	5	5	5	5	15	5	45	20	50	35	25	15	-	35	20	20	25	13
05/02 15:30	晴	18.8	10	15	10	25	-	5	-	10	5	5	10	65	20	15	-	40	5	15	10	10	45	5	20	35	15	5	5	5	5	30	20	80	50	65	120	60	15	-	60	45	40	45	29
05/03 15:30	晴	22.8	-	20	20	30	-	5	-	20	5	5	10	125	35	15	-	55	10	20	20	10	40	10	20	45	25	15	5	5	5	35	25	120	65	65	115	80	15	-	45	20	35	30	35
05/04 15:30	晴	27.1	-	20	25	35	-	5	-	15	5	5	10	125	35	15	-	65	20	20	20	20	40	10	25	35	40	10	5	5	5	35	35	120	80	80	120	80	15	-	40	20	40	45	38
日時	天
気	気
温	オ
ム
ニ
バ
ス	リ
バ
｜
鉄
道	カ
リ
ブ
の
海
賊	ジ
ャ
ン
グ
ル	ツ
リ
｜
ハ
ウ
ス	チ
キ
ル
｜
ム	ビ
ッ
グ
サ
ン
ダ
｜	Ｓ
ギ
ャ
ラ
リ
｜	ベ
ア
・
シ
ア
タ
｜	い
か
だ	蒸
気
船	ス
プ
ラ
ッ
シ
ュ	カ
ヌ
｜
探
検	ハ
ニ
｜
ハ
ン
ト	ホ
｜
ン
テ
ッ
ド	ア
リ
ス	ス
モ
｜
ル
ワ
｜
ル
ド	カ
ル
｜
セ
ル	シ
ン
デ
レ
ラ	ピ
ノ
キ
オ	ピ
｜
タ
｜
パ
ン	フ
ィ
ル
ハ
｜	白
雪
姫	空
飛
ぶ
ダ
ン
ボ	ゴ
｜
コ
｜
ス
タ
｜	グ
｜
フ
ィ
｜	Ｃ
Ｄ
ツ
リ
｜
ハ
ウ
ス	ド
ナ
ル
ド
の
ボ
｜
ト	ミ
ニ
｜
の
家	カ
｜
ト
ゥ
｜
ン	ス
タ
｜
・
ツ
ア
｜
ズ	ス
ペ
｜
ス	バ
ズ
ラ
イ
ト
イ
ヤ
｜	モ
ン
イ
ン	美
女
と
野
獣	ス
タ
｜
ジ
ェ
ッ
ト	ス
テ
ィ
ッ
チ
Ｅ
Ｎ
Ｃ	エ
ン
ト
グ
リ
西	エ
ン
ト
グ
リ
東	デ
イ
ジ
｜
グ
リ	ド
ナ
ル
ド
グ
リ	ミ
｜
ト
・
ミ
ッ
キ
｜	平
均
待
ち
時
間